SOURCE_DATASET_r,SOURCE_DATASET_l,unique_id_l,unique_id_r,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_l,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_r,BEGIN_PUBLICATION_DATE_l,BEGIN_PUBLICATION_DATE_r,extent_normalized_l,extent_normalized_r,EDITION_l,EDITION_r,AUTHOR_l,AUTHOR_r,title_similarity,author_similarity,decision,timestamp,notes,reviewer
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_10135,UMontreal_Results_Oct24_10137,recueildetextesetdarretsresponsabiliteciviledelictuelle-baud-1971,recueildetextesetdarretstheoriegeneraledesobligations-baud-1971,1971,1971,2 v. (959 p.),2 v. (719 p.),,,"Baudouin, Louis.","Baudouin, Louis.",0.703125,1.0,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_9405,UMontreal_Results_Oct24_9406,portraitsdespoir--2012,portraitsofhope--2012,2012,2012,207 p. :,207 pages :,,,,,0.7441860465116279,,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_3919,UMontreal_Results_Oct24_3920,homicidecontroleetautoriteeninstitutionhomicidecontrolandauthorityininstitu--1975,homicidecontroleetautoriteeninstitutionmodelepourdossieruniqueencriminologi--1975,1975,1975,458 leaves.,458 leaves,,,,,0.7160493827160495,,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_7695,UMontreal_Results_Oct24_7696,levolamainarmeeamontreallesvoleursparlentlesvictimesseprononcentrapportfina-norm-1985,levolamainarmeeamontreallesvoleurspartentlesvictimesseprononcent-norm-1985,1985,1985,187 p. :,187 pages :,,,"Normandeau, André","Normandeau, André,",0.9182389937106918,0.8888888888888888,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_5118,UMontreal_Results_Oct24_5119,lamicroinformatiqueetlesparentscomparaisondesmilieuxfrancophoneetanglophone-fari-1987,lamicroinformatiqueetlesparentsetudeparregionscolaire-fari-1987,1987,1987,57 pages,97 pages,,,"Farine, Avigdor.","Farine, Avigdor.",0.7027027027027026,1.0,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_9567,UMontreal_Results_Oct24_9568,problematiquedescivilisationsleconinaugurale-lamo-1968,problematiquedescivilizations-lamo-1968,1968,1968,43 p.,43p.,,,"Lamontagne, Roland,","Lamontagne, Roland",0.8172043010752688,0.972972972972973,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_9006,UMontreal_Results_Oct24_9007,ordredapparitiondesstructuresoperatoiresconcretesiiioperationsadditivesdecl-mori-1967,ordredapparitiondesstructuresoperatoiresconcretesioperationsadditivesetoper-norm-1967,1967,1967,132 feuillets,101 feuillets,,,"Morin, Claude.","Normandeau, André-M.",0.9176470588235294,0.4571428571428571,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_7926,UMontreal_Results_Oct24_7927,linguistiqueetmathematique--1968,linguistiqueetmathematiqueguyrondeauediteur--1968,1968,1968,92 p.,92p.,,,,,0.7901234567901234,,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_11716,UMontreal_Results_Oct24_11717,vieassociativeetethnicitelediscoursdeleadersdorigineitaliennedelaregiondemo-ther-1993,vieassociativeetethnicitelediscoursdeleadersdoriginelibanaisedelaregiondemo-polo-1993,1993,1993,94 pages,96 pages,,,"Therrien, Marthe.","Polo, Anne-Lise,",0.8941176470588236,0.2424242424242424,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_5658,UMontreal_Results_Oct24_5660,latheologiealuniversiteguidebibliographique-peti-2011,latheologieetlessciencesguidebibliographique-peti-2011,2011,2011,46 pages,49 pages,,,"Petit, Jean-Claude,","Petit, Jean-Claude,",0.8598130841121495,1.0,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_2510,UMontreal_Results_Oct24_2512,elementsdedemographie-henr-1968,elementsdedemographiedem101-henr-1968,1968,1968,199 pages,199 p,,,"Henripin, Jacques,","Henripin, Jacques,",0.9117647058823528,1.0,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_11512,UMontreal_Results_Oct24_11513,unemethodedintegrationdesapprentissages-cant-1979,unemethodedintegrationdunprogramme-cant-1979,1979,1979,68 pages,98 pages,,,"Cantin, Gabrielle.","Cantin, Gabrielle.",0.7956989247311828,1.0,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_463,UMontreal_Results_Oct24_466,apprendreenlisantausecondairestrategiesdelevesdepremieresecondaire-cart-2003,apprendreenlisantausecondairestrategiesdinterventiondelevesdepremieresecond-cart-2003,2003,2003,17 feuillets,19 feuillets,,,"Cartier, Sylvie,","Cartier, Sylvie,",0.8944099378881988,1.0,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_1765,UMontreal_Results_Oct24_1768,designdinterieur2004--2004,designindustriel2004--2004,2004,2004,44 pages :,164 pages :,,,,,0.8461538461538461,,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_833,UMontreal_Results_Oct24_834,boscovillelemilieuetlaclientele-cuss-1980,boscovillelemilieuetlaclientelerapportfinalno1-cuss-1980,1980,1980,"iii, 164 p. :","iii, 164 pages :",,,"Cusson, Maurice,","Cusson, Maurice.",0.845360824742268,0.9375,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_1959,UMontreal_Results_Oct24_1960,discoursdepresseetnouvellestechnologiesdereproduction-bril-1992,discoursdepresseetnouvellestechnologiesdereproductionextraitsetresumesdesar-bril-1992,1992,1992,"iii, 96 f","iii, 96 feuillets",,,"Brillon, Yves.","Brillon, Yves.",0.8513513513513513,1.0,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_464,UMontreal_Results_Oct24_465,apprendreenlisantausecondairestrategiesdelevesdequatriemeetcinquiemeseconda-cart-2004,apprendreenlisantausecondairestrategiesdeselevesquifrequententuneclassedech-cart-2004,2004,2004,18 feuillets,19 feuillets,,,"Cartier, Sylvie,","Cartier, Sylvie,",0.8,1.0,ignore,,,
